epoch,id,iou
-1,21,0.8201935
-1,21,0.61248374
-1,21,2.9017469e-11
-1,21,8.590327e-11
-1,21,2.9559563e-11
-1,21,3.0193237e-10
-1,21,1.9727757e-10
-1,21,0.32598618
-1,21,0.36138096
-1,21,2.2550965e-11
-1,21,2.3876606e-11
-1,21,8.3934866e-11
-1,21,4.1121804e-11
-1,21,1.4551804e-11
-1,21,6.735821e-11
-1,21,4.25152e-11
-1,21,4.503896e-11
-1,21,2.5920166e-10
-1,21,0.9137647
-1,21,0.5803269
-1,21,4.6792382e-11
-1,21,0.7241016
-1,21,1.4781966e-10
-1,21,3.021148e-11
-1,21,4.6702784e-11
-1,21,0.95867217
-1,21,8.279517e-11
-1,21,2.8909253e-11
-1,21,9.0752336e-11
-1,21,0.9077845
-1,21,8.177952e-11
-1,21,0.92323977
-1,21,0.46658477
-1,21,0.3842245
-1,21,0.0861743
-1,21,0.7989035
-1,21,0.8615683
-1,21,3.5625222e-10
-1,21,5.7783427e-11
-1,21,3.6500348e-11
-1,21,5.7270487e-11
-1,21,2.624672e-10
-1,21,8.105698e-11
-1,21,0.5165597
-1,21,7.196316e-11
-1,21,1.1163206e-11
-1,21,5.1733057e-10
-1,21,5.6814952e-11
-1,21,6.242197e-11
-1,21,0.83995837
-1,21,5.941771e-11
-1,21,7.8351485e-11
-1,21,3.9178813e-11
-1,21,1.7602845e-11
-1,21,0.81541884
-1,21,1.07781846e-10
-1,21,0.36301032
-1,21,0.0029471617
-1,21,3.632269e-11
-1,21,2.1612276e-10
-1,21,0.3547647
-1,21,0.24421574
-1,21,0.7742693
-1,21,8.542628e-11
-1,21,1.7067758e-10
-1,21,2.7419797e-11
-1,21,3.036099e-11
-1,21,4.8477798e-11
-1,21,4.3898157e-10
-1,21,6.234414e-11
-1,21,1.7642596e-11
-1,21,0.2974964
-1,21,4.9728978e-11
-1,21,0.6570962
-1,21,9.627419e-11
-1,21,5.833965e-11
-1,21,0.46565893
-1,21,0.329033
-1,21,0.8050756
-1,21,0.89239943
-1,21,0.85423076
-1,21,0.95782906
-1,21,2.4713936e-11
-1,21,1.4742739e-10
-1,21,7.958615e-11
-1,21,2.0316944e-10
-1,21,4.2693078e-11
-1,21,0.92070216
-1,21,1.4308199e-11
-1,21,1.594642e-10
-1,21,2.1612276e-10
-1,21,6.146281e-10
-1,21,7.158196e-11
-1,21,1.9607843e-10
-1,21,0.77286536
-1,21,4.409171e-11
-1,21,0.8928058
-1,21,1.1904762e-09
-1,21,1.2841916e-10
-1,21,4.3140637e-11
-1,21,1.7214074e-11
-1,21,1.2783637e-11
-1,21,0.075480975
-1,21,0.90609634
-1,21,3.3945482e-11
-1,21,1.08920595e-10
-1,21,2.6683033e-11
-1,21,1.440507e-10
-1,21,0.85242444
-1,21,0.8601651
-1,21,1.4138872e-11
-1,21,4.833019e-11
-1,21,3.862943e-11
-1,21,2.97221e-11
-1,21,2.7495188e-11
-1,21,3.858918e-11
-1,21,6.4e-11
-1,21,0.68055654
-1,21,2.0567667e-10
-1,21,0.8194525
-1,21,1.4760147e-10
-1,21,7.6394197e-11
-1,21,0.05167913
-1,21,2.9280006e-11
-1,21,2.247393e-11
-1,21,3.374047e-11
-1,21,5.9435366e-11
-1,21,2.4342744e-10
-1,21,0.90230304
-1,21,6.154604e-11
-1,21,1.4708046e-10
-1,21,3.3410177e-11
-1,21,0.17906548
-1,21,1.2708418e-11
-1,21,3.6745794e-11
-1,21,0.79633695
-1,21,1.7479461e-10
-1,21,1.9912386e-10
-1,21,0.8931883
-1,21,6.788405e-11
-1,21,1.2165006e-11
-1,21,0.84444743
-1,21,0.19723776
-1,21,1.7590149e-10
-1,21,2.8537183e-11
-1,21,1.1043622e-10
-1,21,1.6354834e-11
-1,21,3.6146756e-11
-1,21,9.68523e-11
-1,21,8.439531e-11
-1,21,6.390185e-11
-1,21,0.010917438
-1,21,1.2602394e-10
-1,21,4.176237e-11
-1,21,7.380618e-11
-1,21,3.2133676e-10
-1,21,7.015574e-11
-1,21,1.1578094e-10
-1,21,2.7733097e-11
-1,21,1.0807306e-11
-1,21,0.6055235
