model,device,lr,batch_size,epochs,use_inpainter,train_loss,val_loss,iid_val_iou,iid_test_iou,ood_iou,consistency,epoch
Unet,cuda,[1e-05],8,300,False,0.8174165296554565,0.7149931967258454,0.3339935541152954,0.34658745,0.0993650555610656,0.4354943361878395,0.0
Unet,cuda,[1e-05],8,300,False,0.7442106026411056,0.6654422721266746,0.4820393323898315,0.5203295350074768,0.1765404194593429,0.4104326781630516,1.0
Unet,cuda,[9.990133642141359e-06],8,300,False,0.6879795229434967,0.6370729801058769,0.5706524848937988,0.601967453956604,0.2277026027441024,0.4039375293254852,2.0
Unet,cuda,[9.960573506572391e-06],8,300,False,0.644370579123497,0.6202464336156845,0.6147261261940002,0.6421914100646973,0.2676103413105011,0.4093644323945046,3.0
Unet,cuda,[9.911436253643445e-06],8,300,False,0.6154437774419784,0.6078937485814094,0.6536007523536682,0.6858928203582764,0.2834236323833465,0.4129909318685532,4.0
Unet,cuda,[9.842915805643156e-06],8,300,False,0.5968265098333358,0.6022797691822052,0.658068835735321,0.6852108836174011,0.2949910163879394,0.4147788512706757,5.0
Unet,cuda,[9.755282581475769e-06],8,300,False,0.5847661155462265,0.5988309267163276,0.6299402713775635,0.6633298397064209,0.2885196805000305,0.4238792437314987,6.0
Unet,cuda,[9.648882429441258e-06],8,300,False,0.5775767403841019,0.5932625225186348,0.6937342882156372,0.7159503698348999,0.3102227747440338,0.4171307358145714,7.0
Unet,cuda,[9.524135262330098e-06],8,300,False,0.5581734573841095,0.5922132354974746,0.67354416847229,0.7019863128662109,0.3090901672840118,0.4235984152555465,8.0
Unet,cuda,[9.381533400219319e-06],8,300,False,0.5524506545066834,0.5740856403112411,0.7193484306335449,0.7466862201690674,0.3189192712306976,0.439461986720562,9.0
Unet,cuda,[9.221639627510076e-06],8,300,False,0.5355721944570542,0.5726983413100243,0.722114622592926,0.7441057562828064,0.3347218632698059,0.4327715781331062,10.0
Unet,cuda,[9.045084971874738e-06],8,300,False,0.5296893745660782,0.5663898831605911,0.72821444272995,0.7516758441925049,0.3383325934410095,0.4374238035082817,11.0
Unet,cuda,[8.852566213878947e-06],8,300,False,0.5179233753681183,0.5632434302568435,0.7221499085426331,0.7471565008163452,0.3495962619781494,0.4461789187788963,12.0
Unet,cuda,[8.644843137107058e-06],8,300,False,0.5190799933671951,0.56260213971138,0.7205371856689453,0.7403114438056946,0.3496866524219513,0.4413346198201179,13.0
Unet,cuda,[8.422735529643445e-06],8,300,False,0.5038542640209198,0.5484873175621032,0.7389423847198486,0.7639266848564148,0.3536438047885895,0.4587450417876243,14.0
Unet,cuda,[8.18711994874345e-06],8,300,False,0.4942828887701034,0.5519759911298752,0.7507959008216858,0.7715058922767639,0.3515407145023346,0.4516450896859169,15.0
Unet,cuda,[7.938926261462368e-06],8,300,False,0.4847037708759308,0.5447140283882618,0.7754766345024109,0.7920927405357361,0.3253524303436279,0.4553083290159702,16.0
Unet,cuda,[7.679133974894984e-06],8,300,False,0.4803291547298431,0.5396494179964065,0.7417964339256287,0.7603874802589417,0.3627335429191589,0.4644282062351703,17.0
Unet,cuda,[7.408768370508577e-06],8,300,False,0.4741561436653137,0.5338896797597408,0.7624261379241943,0.7747352719306946,0.3601605296134949,0.4640115495026111,18.0
Unet,cuda,[7.128896457825364e-06],8,300,False,0.4662708103656768,0.5277462956309319,0.7652851939201355,0.7796175479888916,0.3545913398265838,0.4739481800794601,19.0
Unet,cuda,[6.840622763423391e-06],8,300,False,0.4665166497230529,0.5252276647090912,0.7839227914810181,0.7991302609443665,0.3641053736209869,0.4731012457609176,20.0
Unet,cuda,[6.545084971874738e-06],8,300,False,0.4528387945890426,0.5314934046566486,0.7851739525794983,0.7933598160743713,0.3670572936534881,0.470010443776846,21.0
Unet,cuda,[6.243449435824273e-06],8,300,False,0.4422926068305969,0.5200357514619828,0.7869479656219482,0.7962223887443542,0.3529375493526459,0.4777218361198901,22.0
Unet,cuda,[5.936906572928625e-06],8,300,False,0.4394132834672928,0.5167345431447029,0.7802642583847046,0.790071964263916,0.3599172234535217,0.4830107800662517,23.0
Unet,cuda,[5.6266661678215225e-06],8,300,False,0.4334099000692367,0.518055438697338,0.7765331268310547,0.7910255193710327,0.3642889857292175,0.4772424325346946,24.0
Unet,cuda,[5.3139525976465675e-06],8,300,False,0.4207489788532257,0.503830551803112,0.7838898301124573,0.7916271090507507,0.3592902719974518,0.4934715750813484,25.0
Unet,cuda,[5e-06],8,300,False,0.4191526591777801,0.5109264099597931,0.7874072790145874,0.7926848530769348,0.3609673678874969,0.4867891417443752,26.0
Unet,cuda,[4.686047402353433e-06],8,300,False,0.414896388053894,0.5008759339153767,0.7930160760879517,0.799481213092804,0.3683326840400696,0.4995295293629169,27.0
Unet,cuda,[4.37333383217848e-06],8,300,False,0.4136106163263321,0.4941842512786388,0.7960326671600342,0.7997483611106873,0.3586467802524566,0.5055480505526067,28.0
Unet,cuda,[4.063093427071377e-06],8,300,False,0.4123612022399902,0.4967940402030945,0.789540708065033,0.7959997057914734,0.3683544099330902,0.502354955226183,29.0
Unet,cuda,[3.756550564175726e-06],8,300,False,0.4046351170539856,0.4852958630025387,0.796929121017456,0.8059738874435425,0.3768825829029083,0.512154248058796,30.0
Unet,cuda,[3.4549150281252648e-06],8,300,False,0.3963999187946319,0.4981510281562805,0.785575807094574,0.7979264855384827,0.3671681582927704,0.4998339077830315,31.0
Unet,cuda,[3.159377236576612e-06],8,300,False,0.3993803113698959,0.4934867532551288,0.7983589768409729,0.8017368316650391,0.3716461658477783,0.5038981062173844,32.0
Unet,cuda,[2.871103542174637e-06],8,300,False,0.3885681444406509,0.480698133111,0.7936141490936279,0.8021349310874939,0.3726608157157898,0.5173657380044461,33.0
Unet,cuda,[2.5912316294914232e-06],8,300,False,0.3880205035209655,0.4765432983636856,0.7969001531600952,0.8068172335624695,0.3706119358539581,0.5254381951689719,34.0
Unet,cuda,[2.320866025105016e-06],8,300,False,0.3884400445222855,0.4918895196914672,0.7895164489746094,0.8058257102966309,0.3710682988166809,0.507648357450962,35.0
Unet,cuda,[2.061073738537635e-06],8,300,False,0.3893135076761245,0.4892204970121384,0.7951145768165588,0.804829478263855,0.3747144043445587,0.5065439735352992,36.0
Unet,cuda,[1.8128800512565514e-06],8,300,False,0.3869506925344467,0.4865630108118057,0.7966424822807312,0.8036245703697205,0.3727269470691681,0.5091009241342545,37.0
Unet,cuda,[1.5772644703565564e-06],8,300,False,0.3896348989009857,0.4736309850215912,0.8010019659996033,0.8078548312187195,0.368058443069458,0.5254111425578594,38.0
Unet,cuda,[1.3551568628929434e-06],8,300,False,0.3765080612897873,0.4774840003252029,0.7983616590499878,0.8046475052833557,0.3772721886634826,0.5209843790531159,39.0
Unet,cuda,[1.1474337861210543e-06],8,300,False,0.3718960690498352,0.4733353140950203,0.8022292852401733,0.8052703738212585,0.3676601648330688,0.5238542740046979,40.0
Unet,cuda,[9.549150281252633e-07],8,300,False,0.3774050140380859,0.4784527757763863,0.7967579364776611,0.8027684688568115,0.3741750121116638,0.5195665316283703,41.0
Unet,cuda,[7.783603724899258e-07],8,300,False,0.3794384664297104,0.4624538126587867,0.8018463253974915,0.804739773273468,0.3711410462856293,0.5378970220685005,42.0
Unet,cuda,[6.184665997806822e-07],8,300,False,0.3781583881378174,0.4693006300926208,0.8028524518013,0.806074321269989,0.3743723332881927,0.5318406042456627,43.0
Unet,cuda,[4.758647376699033e-07],8,300,False,0.374920282959938,0.4713045899569988,0.8005886673927307,0.8068044185638428,0.3633257150650024,0.5260685205459594,44.0
