model,device,lr,batch_size,epochs,use_inpainter,train_loss,val_loss,iid_val_iou,iid_test_iou,ood_iou,consistency,epoch
TriUnet,cuda,[1e-05],8,3,False,0.8508740520477295,0.7899241024255752,0.2252566218376159,0.22573753,0.0717236474156379,0.4142719346284866,0.0
TriUnet,cuda,[1e-05],8,3,False,0.8001274579763412,0.7429288464784622,0.3143278956413269,0.3224493861198425,0.1032157316803932,0.4042647367715836,1.0
TriUnet,cuda,[9.990133642141359e-06],8,3,False,0.747176718711853,0.7119327074289322,0.3859643042087555,0.3855176866054535,0.1159961447119712,0.3785866183042526,2.0
TriUnet,cuda,[1e-05],8,300,False,0.841282274723053,0.7609163504838944,0.243687555193901,0.2460844367742538,0.0711584612727165,0.454423308968544,0.0
TriUnet,cuda,[1e-05],8,300,False,0.789959226846695,0.719268932044506,0.3314892649650574,0.327335774898529,0.0949612706899643,0.4416834163665771,1.0
TriUnet,cuda,[9.990133642141359e-06],8,300,False,0.7456279069185257,0.7031961169838905,0.3964387774467468,0.3906383514404297,0.112300805747509,0.4065664026141167,2.0
TriUnet,cuda,[9.960573506572391e-06],8,300,False,0.7064078146219254,0.6949450129270554,0.4412140250205993,0.4292660653591156,0.1325791478157043,0.3745253986120224,3.0
TriUnet,cuda,[9.911436253643445e-06],8,300,False,0.6744168257713318,0.6882740065455437,0.4307828545570373,0.4471243619918823,0.1409064978361129,0.3747512298822403,4.0
TriUnet,cuda,[9.842915805643156e-06],8,300,False,0.6434818732738495,0.6838648110628128,0.4717286825180053,0.4757791757583618,0.1468778699636459,0.3524031400680542,5.0
TriUnet,cuda,[9.755282581475769e-06],8,300,False,0.6185837012529373,0.6778131192922592,0.4830642640590668,0.4805851876735687,0.1610884517431259,0.3487936559319496,6.0
TriUnet,cuda,[9.648882429441258e-06],8,300,False,0.6001823598146439,0.662228238582611,0.5080506205558777,0.5200011730194092,0.1652409136295318,0.359508543908596,7.0
TriUnet,cuda,[9.524135262330098e-06],8,300,False,0.5767995446920395,0.6657694175839424,0.5206253528594971,0.5361701250076294,0.180023580789566,0.3483592182397842,8.0
TriUnet,cuda,[9.381533400219319e-06],8,300,False,0.5586560463905335,0.6572894439101219,0.5505512356758118,0.559343695640564,0.1644624918699264,0.3507892146706581,9.0
TriUnet,cuda,[9.221639627510076e-06],8,300,False,0.5412207949161529,0.6591519811749458,0.5751983523368835,0.5810303688049316,0.164607360959053,0.3385023698210716,10.0
TriUnet,cuda,[9.045084971874738e-06],8,300,False,0.5250425297021866,0.6523702600598336,0.5724490880966187,0.5877426862716675,0.1803086698055267,0.3452083572745323,11.0
TriUnet,cuda,[8.852566213878947e-06],8,300,False,0.5121058958768845,0.6428484830260277,0.5802308917045593,0.6067862510681152,0.1744262874126434,0.3514416480064392,12.0
TriUnet,cuda,[8.644843137107058e-06],8,300,False,0.4977098447084427,0.6534384867548942,0.5892074704170227,0.6126065850257874,0.1830992847681045,0.3343972554802894,13.0
TriUnet,cuda,[8.422735529643445e-06],8,300,False,0.4838903242349625,0.6463711193203926,0.586381196975708,0.6058827042579651,0.184881642460823,0.3396192559599876,14.0
TriUnet,cuda,[8.18711994874345e-06],8,300,False,0.4729436683654785,0.6478235065937042,0.5987014770507812,0.6211762428283691,0.2020426988601684,0.3425984007120132,15.0
TriUnet,cuda,[7.938926261462368e-06],8,300,False,0.4608314329385757,0.6399490854144096,0.6227694749832153,0.6410170197486877,0.1889509111642837,0.3395079585909843,16.0
TriUnet,cuda,[7.679133974894984e-06],8,300,False,0.4530184715986252,0.6253516414761543,0.6063406467437744,0.6123874187469482,0.1840683221817016,0.3614046204090119,17.0
TriUnet,cuda,[7.408768370508577e-06],8,300,False,0.4363411659002304,0.6344671693444252,0.6218270659446716,0.6430246233940125,0.1805736571550369,0.3505679476261139,18.0
TriUnet,cuda,[7.128896457825364e-06],8,300,False,0.4325895285606384,0.6374010461568832,0.6516095995903015,0.6575884222984314,0.1897936910390854,0.3374719476699829,19.0
TriUnet,cuda,[6.840622763423391e-06],8,300,False,0.4236437875032425,0.6305968150496483,0.6365328431129456,0.6499456167221069,0.2002849131822586,0.3522131741046905,20.0
TriUnet,cuda,[6.545084971874738e-06],8,300,False,0.4072585636377334,0.6286875316500664,0.6445409655570984,0.6644046306610107,0.1973768025636673,0.353093030154705,21.0
TriUnet,cuda,[6.243449435824273e-06],8,300,False,0.4020057135820389,0.6329010474681854,0.6450214385986328,0.6567562818527222,0.2006890028715133,0.3466329300403594,22.0
TriUnet,cuda,[5.936906572928625e-06],8,300,False,0.3990660315752029,0.6309165406227112,0.6451604962348938,0.6596620082855225,0.2154057174921035,0.3478030118346215,23.0
TriUnet,cuda,[5.6266661678215225e-06],8,300,False,0.384310662150383,0.6312782403826713,0.6455453634262085,0.6614311337471008,0.2008877545595169,0.3429617631435394,24.0
TriUnet,cuda,[5.3139525976465675e-06],8,300,False,0.37922332406044,0.6228511676192283,0.6408860087394714,0.6673452854156494,0.2057963758707046,0.3606416046619415,25.0
TriUnet,cuda,[5e-06],8,300,False,0.3701090663671493,0.6151634263992309,0.6536974906921387,0.6681745648384094,0.2011617571115493,0.3671760740876197,26.0
TriUnet,cuda,[4.686047402353433e-06],8,300,False,0.3593485885858535,0.6296133413910866,0.6632771492004395,0.6678602695465088,0.2150910198688507,0.3410427221655845,27.0
TriUnet,cuda,[4.37333383217848e-06],8,300,False,0.360455242395401,0.6257609829306603,0.6647069454193115,0.6741037964820862,0.2037061005830764,0.3452558416128158,28.0
TriUnet,cuda,[4.063093427071377e-06],8,300,False,0.3560933285951614,0.608873434662819,0.6517112851142883,0.693545937538147,0.2247003614902496,0.3720301848649978,29.0
TriUnet,cuda,[3.756550564175726e-06],8,300,False,0.3437958258390426,0.6077491560578346,0.6700766682624817,0.6841381192207336,0.2036884427070617,0.367400172650814,30.0
TriUnet,cuda,[3.4549150281252648e-06],8,300,False,0.3481806683540344,0.613266854584217,0.6762422323226929,0.6799923777580261,0.2297657579183578,0.3618293511867523,31.0
TriUnet,cuda,[3.159377236576612e-06],8,300,False,0.336485555768013,0.609895915389061,0.6806999444961548,0.6806082129478455,0.2131970822811126,0.3635053718090058,32.0
TriUnet,cuda,[2.871103542174637e-06],8,300,False,0.3350235784053803,0.6076839107275009,0.6760114431381226,0.6745995283126831,0.206741914153099,0.3650888618826866,33.0
TriUnet,cuda,[2.5912316294914232e-06],8,300,False,0.3304889017343521,0.6089837354421616,0.6725733876228333,0.6894744038581848,0.2219988107681274,0.3624648228287697,34.0
TriUnet,cuda,[2.320866025105016e-06],8,300,False,0.3296698600053787,0.5902895829081536,0.6839010715484619,0.6984950304031372,0.2260744720697403,0.3881768450140953,35.0
TriUnet,cuda,[2.061073738537635e-06],8,300,False,0.3304660582542419,0.5979340744018554,0.6754297018051147,0.6893119215965271,0.2125944346189499,0.3786673539876938,36.0
TriUnet,cuda,[1.8128800512565514e-06],8,300,False,0.3275713193416595,0.6005569024384022,0.6824212670326233,0.6939050555229187,0.2125842869281768,0.3727116823196411,37.0
TriUnet,cuda,[1.5772644703565564e-06],8,300,False,0.3192109811306,0.5973025023937225,0.6808415055274963,0.6945481300354004,0.2277999073266983,0.3753461238741874,38.0
TriUnet,cuda,[1.3551568628929434e-06],8,300,False,0.3236080819368362,0.5946262821555137,0.6900912523269653,0.6928046345710754,0.2326444536447525,0.3773804917931557,39.0
TriUnet,cuda,[1.1474337861210543e-06],8,300,False,0.3155848622322083,0.6107514047622681,0.6921818256378174,0.7039800882339478,0.2287512272596359,0.3568202793598175,40.0
TriUnet,cuda,[9.549150281252633e-07],8,300,False,0.3199939662218093,0.590232869386673,0.692250669002533,0.6974694132804871,0.2266056686639785,0.3795657497644424,41.0
TriUnet,cuda,[7.783603724899258e-07],8,300,False,0.3149184942245483,0.6008202315866947,0.6951562762260437,0.7004106640815735,0.2263819426298141,0.3689187970757485,42.0
TriUnet,cuda,[6.184665997806822e-07],8,300,False,0.3133816611766815,0.5989740341901779,0.6854001879692078,0.6978166103363037,0.2252243012189865,0.3704394513368606,43.0
TriUnet,cuda,[4.758647376699033e-07],8,300,False,0.3138986337184906,0.6029558756947517,0.6874600052833557,0.7003553509712219,0.2303436845541,0.36545893907547,44.0
