model,device,lr,batch_size,epochs,use_inpainter,train_loss,val_loss,iid_val_iou,iid_test_iou,ood_iou,consistency,epoch
DeepLab,cuda,[1e-05],8,250,False,0.8160196590423584,0.7673868051171303,0.3410620987415313,0.3541896,0.113944374024868,0.4610792064666748,0.0
DeepLab,cuda,[1e-05],8,250,False,0.7283611112833023,0.7047623687982559,0.4611871242523193,0.4887464642524719,0.188517078757286,0.413360449373722,1.0
DeepLab,cuda,[9.990133642141359e-06],8,250,False,0.6666766625642776,0.647171579003334,0.5834615230560303,0.6069298982620239,0.2315138727426529,0.4033353734016418,2.0
DeepLab,cuda,[9.960573506572391e-06],8,250,False,0.6272773417830467,0.6255911296606064,0.6135169863700867,0.6278049349784851,0.2410519421100616,0.4112424889206886,3.0
DeepLab,cuda,[9.911436253643445e-06],8,250,False,0.5944485944509507,0.6057665872573853,0.6068439483642578,0.6242825984954834,0.2559805512428283,0.4256059509515763,4.0
DeepLab,cuda,[9.842915805643156e-06],8,250,False,0.5666835588216782,0.5921325403451919,0.6539874076843262,0.6612930297851562,0.2680023908615112,0.4269369342923164,5.0
DeepLab,cuda,[9.755282581475769e-06],8,250,False,0.5426932501792908,0.5728495311737061,0.6996437907218933,0.6935064792633057,0.3067687451839447,0.4368886345624924,6.0
DeepLab,cuda,[9.648882429441258e-06],8,250,False,0.5204316478967667,0.5530077064037323,0.7018189430236816,0.7001522183418274,0.2984336018562317,0.4456074541807174,7.0
DeepLab,cuda,[9.524135262330098e-06],8,250,False,0.4919521576166153,0.5496282571554184,0.6937450170516968,0.6911120414733887,0.2991083562374115,0.4579918324947357,8.0
DeepLab,cuda,[9.381533400219319e-06],8,250,False,0.47989068120718,0.5257420130074024,0.7361622452735901,0.7253745794296265,0.3265420198440552,0.4668486957252026,9.0
DeepLab,cuda,[9.221639627510076e-06],8,250,False,0.4630928030610085,0.5103387996554375,0.7465757727622986,0.7459251880645752,0.3252918422222137,0.4811209788918495,10.0
DeepLab,cuda,[9.045084971874738e-06],8,250,False,0.4488889950513839,0.5059708465635776,0.7275679707527161,0.7251302599906921,0.3353977501392364,0.4735238222777843,11.0
DeepLab,cuda,[8.852566213878947e-06],8,250,False,0.421667251586914,0.4818775515258312,0.7749230861663818,0.7601032257080078,0.3506331443786621,0.5019747266173362,12.0
DeepLab,cuda,[8.644843137107058e-06],8,250,False,0.4142784798145294,0.4772580219805241,0.7464678883552551,0.744295597076416,0.3442370295524597,0.5107511132955551,13.0
DeepLab,cuda,[8.422735529643445e-06],8,250,False,0.3961943852901459,0.4662004819512367,0.7704266905784607,0.7698016166687012,0.3764674663543701,0.5222727304697037,14.0
DeepLab,cuda,[8.18711994874345e-06],8,250,False,0.3897768794000149,0.454314369559288,0.7726473808288574,0.7710778117179871,0.3743073344230652,0.5343346776068211,15.0
