model,device,lr,batch_size,epochs,train_loss,val_loss,iid_val_iou,iid_test_iou,ood_iou,consistency,epoch
DeepLab,cuda,[8.18711994874345e-06],8,250,0.3638000611960887,0.4551493583619594,0.7599092125892639,0.7626637816429138,0.3651018738746643,0.5337628880143166,15.0
DeepLab,cuda,[7.938926261462368e-06],8,250,0.348097542822361,0.446521877348423,0.7702795267105103,0.7783429026603699,0.3622756004333496,0.5442938040196896,16.0
DeepLab,cuda,[7.679133974894984e-06],8,250,0.3423563306033611,0.4404873810708523,0.7652539014816284,0.7643620371818542,0.3666792213916778,0.5481878566741943,17.0
DeepLab,cuda,[7.408768370508577e-06],8,250,0.3194719721376896,0.4246331080794334,0.7865939140319824,0.7739707231521606,0.3670839667320251,0.570563938319683,18.0
DeepLab,cuda,[7.128896457825364e-06],8,250,0.3155927966535091,0.4223741707205772,0.7811872959136963,0.7782487273216248,0.3708189725875854,0.5677579855918884,19.0
DeepLab,cuda,[6.840622763423391e-06],8,250,0.3081239053606987,0.4040464287996292,0.7934614419937134,0.7881327271461487,0.3806555271148681,0.586237341761589,20.0
DeepLab,cuda,[6.545084971874738e-06],8,250,0.2967572259902954,0.4071282923966646,0.7867031097412109,0.7771194577217102,0.3594736456871032,0.5825868637859821,21.0
DeepLab,cuda,[6.243449435824273e-06],8,250,0.296158310174942,0.4019766618311405,0.7973449230194092,0.7862589359283447,0.3778541088104248,0.5848397091031075,22.0
DeepLab,cuda,[5.936906572928625e-06],8,250,0.287885861992836,0.3976944637298584,0.7878534197807312,0.7892763018608093,0.3876749277114868,0.5932969775050878,23.0
DeepLab,cuda,[5.6266661678215225e-06],8,250,0.2773198778927326,0.3983075011521578,0.7990621328353882,0.7952773571014404,0.3948823511600494,0.5906171870976686,24.0
DeepLab,cuda,[5.3139525976465675e-06],8,250,0.2788137066364288,0.3905982305109501,0.8008785843849182,0.788692831993103,0.3936738073825836,0.6025107755511999,25.0
DeepLab,cuda,[5e-06],8,250,0.2695421405136585,0.3753629578649998,0.7955384850502014,0.7899869680404663,0.3970334529876709,0.6168845168501138,26.0
DeepLab,cuda,[4.686047402353433e-06],8,250,0.2676116032898426,0.3934562645852565,0.7946295142173767,0.7944464087486267,0.3939458131790161,0.5943423801660538,27.0
DeepLab,cuda,[4.37333383217848e-06],8,250,0.2670058827102184,0.3820946046710014,0.7822992205619812,0.7953166365623474,0.3998794853687286,0.6115206122398377,28.0
DeepLab,cuda,[4.063093427071377e-06],8,250,0.2547677867114544,0.3894759175926447,0.7913496494293213,0.8003641366958618,0.4067167043685913,0.6033987795561553,29.0
DeepLab,cuda,[3.756550564175726e-06],8,250,0.2567257538437843,0.3718270310759544,0.7925039529800415,0.7963830828666687,0.4005212187767029,0.6208028180152179,30.0
DeepLab,cuda,[3.4549150281252648e-06],8,250,0.2431595234572887,0.3732883414626121,0.7938563823699951,0.7990512847900391,0.400049477815628,0.6166986179351807,31.0
DeepLab,cuda,[3.159377236576612e-06],8,250,0.2413904689252376,0.359207868874073,0.7928330302238464,0.797362208366394,0.4038268029689789,0.6363439511507749,32.0
DeepLab,cuda,[2.871103542174637e-06],8,250,0.2414372123777866,0.3738246657699346,0.7971991896629333,0.7929597496986389,0.4020777344703674,0.6173027776926756,33.0
DeepLab,cuda,[2.5912316294914232e-06],8,250,0.2361646853387355,0.369297699779272,0.7971473932266235,0.7968302369117737,0.3945095539093017,0.6196669492870569,34.0
DeepLab,cuda,[2.320866025105016e-06],8,250,0.2406033071875572,0.3684512037038803,0.7926824688911438,0.7992362380027771,0.4080256223678589,0.6203888760507107,35.0
DeepLab,cuda,[2.061073738537635e-06],8,250,0.2394132858514785,0.370622264444828,0.7924714088439941,0.7990091443061829,0.4056954383850097,0.6241956424713135,36.0
DeepLab,cuda,[1.8128800512565514e-06],8,250,0.2386248013377189,0.3603558550029993,0.7965109348297119,0.8033112287521362,0.4069096744060516,0.6305645956844091,37.0
DeepLab,cuda,[1.5772644703565564e-06],8,250,0.23211859151721,0.3627930296957493,0.7967994213104248,0.796634316444397,0.3994271755218506,0.6256368358433246,38.0
DeepLab,cuda,[1.3551568628929434e-06],8,250,0.2330743558704853,0.3527493561804294,0.7935879230499268,0.7995117902755737,0.4066028594970703,0.6404970380663872,39.0
DeepLab,cuda,[1.1474337861210543e-06],8,250,0.2257394126057624,0.3527535799890756,0.7978253364562988,0.801440954208374,0.403531402349472,0.6423373685777187,40.0
DeepLab,cuda,[9.549150281252633e-07],8,250,0.2309718686342239,0.3571247743815183,0.7986109852790833,0.7978567481040955,0.4003345668315887,0.6332803411781788,41.0
DeepLab,cuda,[7.783603724899258e-07],8,250,0.2298111636936664,0.3494013293832541,0.7938829064369202,0.8013810515403748,0.4033123254776001,0.6457336261123419,42.0
DeepLab,cuda,[6.184665997806822e-07],8,250,0.2291439862549305,0.3535536005347967,0.7992063760757446,0.7990246415138245,0.4022641777992248,0.6413985903561115,43.0
DeepLab,cuda,[4.758647376699033e-07],8,250,0.2246741238236427,0.3644759817421436,0.7989485263824463,0.8004351258277893,0.404867023229599,0.6323896539211273,44.0
DeepLab,cuda,[3.511175705587433e-07],8,250,0.2300865224003792,0.349003316834569,0.7969421148300171,0.8002592325210571,0.4072676599025726,0.6433596625924111,45.0
DeepLab,cuda,[2.447174185242324e-07],8,250,0.2299578842520714,0.3559772721678018,0.795372724533081,0.8002434372901917,0.4031057953834533,0.6368807248771191,46.0
DeepLab,cuda,[1.5708419435684518e-07],8,250,0.2356458106637001,0.3729570844024419,0.7972476482391357,0.8010412454605103,0.4050463736057281,0.6154356129467488,47.0
DeepLab,cuda,[8.85637463565564e-08],8,250,0.2278784184157848,0.358699465021491,0.7941634654998779,0.8005744814872742,0.4022177457809448,0.6322388698160648,48.0
DeepLab,cuda,[3.9426493427611177e-08],8,250,0.2335724417865276,0.3522859486192465,0.7978447675704956,0.799070417881012,0.4028161764144897,0.6399703363329172,49.0
DeepLab,cuda,[9.866357858642206e-09],8,250,0.2255616396665573,0.3499156917631626,0.7958197593688965,0.8026923537254333,0.4053463935852051,0.6448513939976692,50.0
DeepLab,cuda,[1e-05],8,250,0.2281420308351516,0.345001051351428,0.7903698086738586,0.7988449335098267,0.3990723788738251,0.6499454601854087,51.0
DeepLab,cuda,[9.997532801828659e-06],8,250,0.2246724131703376,0.3534233427792788,0.7964552044868469,0.8008550405502319,0.3922877013683319,0.6392732713371515,52.0
DeepLab,cuda,[9.990133642141359e-06],8,250,0.2222512549161911,0.3428565464168787,0.8028944134712219,0.8072915077209473,0.4049453735351562,0.6488601678609849,53.0
DeepLab,cuda,[9.9778098230154e-06],8,250,0.2234144714474678,0.3446226047724485,0.8017823696136475,0.7962523698806763,0.3959207832813263,0.6464236875623465,54.0
DeepLab,cuda,[9.960573506572391e-06],8,250,0.2047679987549781,0.3233800222724676,0.7964025735855103,0.7874454259872437,0.4008885622024536,0.6681115428358316,55.0
DeepLab,cuda,[9.938441702975689e-06],8,250,0.2028539386391639,0.328216980099678,0.799599826335907,0.8131892681121826,0.3976435363292694,0.663440762013197,56.0
DeepLab,cuda,[9.911436253643445e-06],8,250,0.1992454512417316,0.3324084071815014,0.7981207966804504,0.8092169165611267,0.4196948707103729,0.6615008623152971,57.0
DeepLab,cuda,[9.879583809693737e-06],8,250,0.1967721232771873,0.3006244184076786,0.8104461431503296,0.807432234287262,0.4336573183536529,0.6988399903476239,58.0
DeepLab,cuda,[9.842915805643156e-06],8,250,0.1864931359142065,0.3348801689594984,0.7983756065368652,0.8069993853569031,0.4209985435009002,0.650529491007328,59.0
DeepLab,cuda,[9.801468428384716e-06],8,250,0.1834298811107874,0.3115657590329647,0.8054776787757874,0.8056210279464722,0.4163437187671661,0.6817315974831581,60.0
DeepLab,cuda,[9.755282581475769e-06],8,250,0.1812477950006723,0.3043051566183567,0.803180992603302,0.8076179027557373,0.4219383299350738,0.6867131331190467,61.0
DeepLab,cuda,[9.704403844771128e-06],8,250,0.1795222663134336,0.3120422929525375,0.8028935790061951,0.8112095594406128,0.4255888164043426,0.6843304317444563,62.0
DeepLab,cuda,[9.648882429441258e-06],8,250,0.1761138226091861,0.309536949545145,0.8061378002166748,0.8173487186431885,0.4157883822917938,0.6832642357051373,63.0
DeepLab,cuda,[9.588773128419907e-06],8,250,0.171874785721302,0.302932985946536,0.8050935864448547,0.8131473660469055,0.4310576021671295,0.6938715303689241,64.0
DeepLab,cuda,[9.524135262330098e-06],8,250,0.1725480379164219,0.3087906205654144,0.8046505451202393,0.8150007724761963,0.4213522374629974,0.680262505710125,65.0
DeepLab,cuda,[9.45503262094184e-06],8,250,0.1598926569521427,0.3009401367604732,0.8172833919525146,0.8153300285339355,0.4266234934329986,0.6903527031093836,66.0
DeepLab,cuda,[9.381533400219319e-06],8,250,0.1647966534644365,0.2847261334210634,0.8143867254257202,0.8158026337623596,0.4317470490932464,0.7151662790030241,67.0
DeepLab,cuda,[9.30371013501972e-06],8,250,0.1627800640463829,0.3010283206030726,0.8088517785072327,0.8150234818458557,0.4305043220520019,0.6934442121908069,68.0
DeepLab,cuda,[9.221639627510076e-06],8,250,0.1630175542831421,0.3058683625236154,0.7938158512115479,0.8185421824455261,0.4340973794460296,0.6882908185943961,69.0
DeepLab,cuda,[9.13540287137281e-06],8,250,0.159226779192686,0.2974939322844148,0.8084167242050171,0.8234149217605591,0.4270963966846466,0.6925379088521004,70.0
DeepLab,cuda,[9.045084971874738e-06],8,250,0.152101643756032,0.285229045972228,0.8104373812675476,0.815280020236969,0.4380697011947632,0.709755732268095,71.0
DeepLab,cuda,[8.950775061878451e-06],8,250,0.1536819489300251,0.2986946112662554,0.809399425983429,0.8249607682228088,0.4455952644348144,0.6976889736950398,72.0
DeepLab,cuda,[8.852566213878947e-06],8,250,0.1507764587551355,0.2847858741134405,0.8167136311531067,0.813341498374939,0.4278284609317779,0.7054088143259287,73.0
DeepLab,cuda,[8.750555348152299e-06],8,250,0.1504011390358209,0.2869594303518534,0.8055971264839172,0.8274423480033875,0.4391103982925415,0.7053543851524591,74.0
DeepLab,cuda,[8.644843137107058e-06],8,250,0.1412483611702919,0.2886973062157631,0.8091604113578796,0.8203182220458984,0.4433286190032959,0.7055398881435394,75.0
DeepLab,cuda,[8.535533905932739e-06],8,250,0.1535634045302868,0.2639083485305309,0.8117457032203674,0.8272225260734558,0.4471495449542999,0.7323842994868756,76.0
DeepLab,cuda,[8.422735529643445e-06],8,250,0.1418798926472664,0.2693341978266835,0.8159981369972229,0.8241463303565979,0.4330621063709259,0.7251705540344119,77.0
DeepLab,cuda,[8.30655932661826e-06],8,250,0.139531345963478,0.2814059066027403,0.8101683855056763,0.8207997679710388,0.4407122433185577,0.7084786544367672,78.0
DeepLab,cuda,[8.18711994874345e-06],8,250,0.1424844329059124,0.2692708329111337,0.8169244527816772,0.8191217184066772,0.4369278252124786,0.7262198816984892,79.0
DeepLab,cuda,[8.064535268264883e-06],8,250,0.1337259804457426,0.2752677951008081,0.8108341693878174,0.8235865235328674,0.4371625185012817,0.7246806444972753,80.0
DeepLab,cuda,[7.938926261462368e-06],8,250,0.1408728928864002,0.2784385364502668,0.8108499050140381,0.8169882893562317,0.4267143011093139,0.7116784443706274,81.0
DeepLab,cuda,[7.810416889260654e-06],8,250,0.1339001809060573,0.2534687819704413,0.8189157843589783,0.8192309737205505,0.4423195123672485,0.7470136152207851,82.0
DeepLab,cuda,[7.679133974894984e-06],8,250,0.1314265514910221,0.2744404454156756,0.8046321272850037,0.8214141726493835,0.4489957392215729,0.7264205281436443,83.0
DeepLab,cuda,[7.545207078751858e-06],8,250,0.1330256352573633,0.2770942511036992,0.8099583387374878,0.8115921020507812,0.4345939755439758,0.7175001263618469,84.0
DeepLab,cuda,[7.408768370508577e-06],8,250,0.1321139670163393,0.2712927532196045,0.8096646070480347,0.8142256140708923,0.4314347207546234,0.7202068205177784,85.0
DeepLab,cuda,[7.269952498697734e-06],8,250,0.1286653509736061,0.2702370339632034,0.8198962211608887,0.8207646012306213,0.4400460422039032,0.7245935315638781,86.0
DeepLab,cuda,[7.128896457825364e-06],8,250,0.1298445205390453,0.2677418759465217,0.815341591835022,0.8194587230682373,0.4294199347496032,0.728918708562851,87.0
DeepLab,cuda,[6.985739453173903e-06],8,250,0.1222620192170143,0.2624654683098197,0.8214171528816223,0.8283789157867432,0.4413166344165802,0.7330973476544023,88.0
DeepLab,cuda,[6.840622763423391e-06],8,250,0.1277877102792263,0.2491516017541289,0.8184888958930969,0.8202939629554749,0.4340745508670807,0.7497921898216009,89.0
DeepLab,cuda,[6.693689601226458e-06],8,250,0.1334087871760129,0.2715622940659523,0.8118017315864563,0.8193334937095642,0.44173064827919,0.7222103090956807,90.0
DeepLab,cuda,[6.545084971874738e-06],8,250,0.1308640377223491,0.2638545577973127,0.817440927028656,0.8262509703636169,0.4464230537414551,0.7282468719035387,91.0
DeepLab,cuda,[6.3949555301961474e-06],8,250,0.1271208304166793,0.2535911709070205,0.8156207799911499,0.8197692632675171,0.4371366202831268,0.7403413746878504,92.0
DeepLab,cuda,[6.243449435824273e-06],8,250,0.1273500312119722,0.2675991823896765,0.8139702081680298,0.8201789855957031,0.4484471380710602,0.7244840857759118,93.0
DeepLab,cuda,[6.090716206982714e-06],8,250,0.1208683057874441,0.2606999599561095,0.8145493865013123,0.8200219869613647,0.4499468207359314,0.7325259050354361,94.0
DeepLab,cuda,[5.936906572928625e-06],8,250,0.1174137350171804,0.2692930758744478,0.8161197900772095,0.8216187953948975,0.4460681080818176,0.7272657035663723,95.0
DeepLab,cuda,[5.782172325201155e-06],8,250,0.1257332796603441,0.2533034833148122,0.8184313178062439,0.8273779153823853,0.4699502289295196,0.7462306737154722,96.0
DeepLab,cuda,[5.6266661678215225e-06],8,250,0.1176039024442434,0.2638943646103143,0.8143435120582581,0.8198857307434082,0.46692755818367,0.7300522462278605,97.0
DeepLab,cuda,[5.470541566592572e-06],8,250,0.1156147438287735,0.2659669982269406,0.8176207542419434,0.8206369280815125,0.4579077064990997,0.7266577338054776,98.0
DeepLab,cuda,[5.3139525976465675e-06],8,250,0.1179759918153286,0.2665847377106547,0.8111373782157898,0.8232054114341736,0.4704301357269287,0.7338004518672824,99.0
DeepLab,cuda,[5.157053795390642e-06],8,250,0.1140377759933471,0.248359024785459,0.818013072013855,0.8279116749763489,0.4683779180049896,0.7456622216850519,100.0
DeepLab,cuda,[5e-06],8,250,0.1197395967692136,0.267611270584166,0.8144179582595825,0.8265588283538818,0.4707213044166565,0.7250359784066678,101.0
DeepLab,cuda,[4.842946204609359e-06],8,250,0.1181368971616029,0.252835395745933,0.8171664476394653,0.8223266005516052,0.4618786871433258,0.7433328209072352,102.0
DeepLab,cuda,[4.686047402353433e-06],8,250,0.1149510160088539,0.2509180998802185,0.8165315985679626,0.8218109607696533,0.4566982388496399,0.7430320247262716,103.0
DeepLab,cuda,[4.529458433407429e-06],8,250,0.1146904423087835,0.2506095158681273,0.8185296058654785,0.8248887658119202,0.4733954966068268,0.7477219828218222,104.0
DeepLab,cuda,[4.37333383217848e-06],8,250,0.1150773415714502,0.2457559632137417,0.817892849445343,0.8262525796890259,0.4660295248031616,0.7465894502401351,105.0
DeepLab,cuda,[4.217827674798846e-06],8,250,0.1159749311208725,0.2592248197644949,0.8175228834152222,0.8211786150932312,0.4690395295619964,0.7337955877184867,106.0
DeepLab,cuda,[4.063093427071377e-06],8,250,0.1139037809520959,0.2403608695417642,0.816697895526886,0.8280231356620789,0.4738310873508453,0.7580814529582858,107.0
DeepLab,cuda,[3.909283793017289e-06],8,250,0.1118238841742277,0.2528181025758386,0.8220109343528748,0.8274421691894531,0.4759103953838348,0.7475085861235857,108.0
DeepLab,cuda,[3.756550564175726e-06],8,250,0.1117636898905038,0.252066635787487,0.8232729434967041,0.8311308026313782,0.4850904643535614,0.7386384607106447,109.0
DeepLab,cuda,[3.6050444698038547e-06],8,250,0.1156127258390188,0.2542802321538329,0.8200876712799072,0.8277612328529358,0.4643484652042389,0.7378513097763062,110.0
DeepLab,cuda,[3.4549150281252648e-06],8,250,0.1093520011007785,0.2514784429222345,0.8221820592880249,0.8313694000244141,0.4740721583366394,0.7417831944301725,111.0
DeepLab,cuda,[3.3063103987735433e-06],8,250,0.1086909075081348,0.2541276967152953,0.8203825950622559,0.827517032623291,0.4770512878894806,0.7382217076048254,112.0
DeepLab,cuda,[3.159377236576612e-06],8,250,0.1131598167866468,0.2525667350739241,0.8234882950782776,0.8195786476135254,0.465085506439209,0.7477443332225084,113.0
DeepLab,cuda,[3.0142605468260967e-06],8,250,0.1128317859768867,0.241677466109395,0.8217612504959106,0.8273513317108154,0.4737603366374969,0.7527725011482835,114.0
DeepLab,cuda,[2.871103542174637e-06],8,250,0.1116229350119829,0.2496227423846721,0.8207727074623108,0.8276100754737854,0.4717316031455993,0.7435986898094415,115.0
DeepLab,cuda,[2.7300475013022666e-06],8,250,0.1088884430378675,0.2404798528552055,0.8225279450416565,0.8298205733299255,0.4810081422328949,0.7557209721580148,116.0
DeepLab,cuda,[2.5912316294914232e-06],8,250,0.1123016528785228,0.2431033885106444,0.8247530460357666,0.8301112651824951,0.4839436709880829,0.7528960810601711,117.0
DeepLab,cuda,[2.4547929212481436e-06],8,250,0.1084149018302559,0.2488438982889056,0.8234078288078308,0.8240951299667358,0.4739004373550415,0.7468432654812932,118.0
DeepLab,cuda,[2.320866025105016e-06],8,250,0.1078338842839002,0.2438126776739955,0.8236690759658813,0.8263855576515198,0.4776397943496704,0.7524296485260129,119.0
DeepLab,cuda,[2.189583110739347e-06],8,250,0.1069678629562258,0.2571692867949605,0.8234735131263733,0.8263686299324036,0.4720920920372009,0.7336732036620379,120.0
DeepLab,cuda,[2.061073738537635e-06],8,250,0.110976198464632,0.2469139877706766,0.8215703368186951,0.8281805515289307,0.4831640720367431,0.7534003698080778,121.0
DeepLab,cuda,[1.935464731735117e-06],8,250,0.1108350043371319,0.2421550997346639,0.8252561688423157,0.8261470794677734,0.4703351259231567,0.7579503958672285,122.0
DeepLab,cuda,[1.8128800512565514e-06],8,250,0.1064976730197668,0.2490393855422735,0.8225685358047485,0.8257028460502625,0.4819057881832123,0.750978970527649,123.0
DeepLab,cuda,[1.6934406733817417e-06],8,250,0.1092829652875661,0.2591263532638549,0.8200733661651611,0.8271288275718689,0.4755483865737915,0.7327912005782127,124.0
DeepLab,cuda,[1.5772644703565564e-06],8,250,0.1094292628765106,0.241806222051382,0.821664035320282,0.8249672055244446,0.4781428873538971,0.7535345705226064,125.0
DeepLab,cuda,[1.4644660940672628e-06],8,250,0.1060161639004945,0.2384947548434138,0.8210746049880981,0.8240906596183777,0.4705134332180023,0.7583452897891403,126.0
DeepLab,cuda,[1.3551568628929434e-06],8,250,0.1068580692261457,0.2489051896333694,0.8207797408103943,0.8241236209869385,0.4891020059585571,0.7473442517220974,127.0
DeepLab,cuda,[1.2494446518477022e-06],8,250,0.10745400570333,0.2419119440764189,0.8213456869125366,0.8239418864250183,0.4823490977287292,0.7541341653093696,128.0
DeepLab,cuda,[1.1474337861210543e-06],8,250,0.1048028624057769,0.2385552117601037,0.8177754282951355,0.81805020570755,0.4665041863918304,0.7669518011063338,129.0
DeepLab,cuda,[1.049224938121548e-06],8,250,0.1048616583272814,0.243301051557064,0.8229783773422241,0.8283405900001526,0.4796271324157715,0.7537714665755629,130.0
DeepLab,cuda,[9.549150281252633e-07],8,250,0.1078073873370885,0.2521126589551568,0.8236833810806274,0.8254371881484985,0.4824355244636535,0.747059041261673,131.0
DeepLab,cuda,[8.645971286271915e-07],8,250,0.1034416488558054,0.237549101114273,0.8215493559837341,0.8227699995040894,0.4699414670467376,0.7590736005827785,132.0
DeepLab,cuda,[7.783603724899258e-07],8,250,0.1069660929590463,0.2464479009434581,0.8205137848854065,0.8240474462509155,0.4895868897438049,0.7468673590198159,133.0
DeepLab,cuda,[6.962898649802813e-07],8,250,0.1077855072170496,0.2585266788303852,0.8230702877044678,0.8222458362579346,0.477432519197464,0.732829735390842,134.0
DeepLab,cuda,[6.184665997806822e-07],8,250,0.1019458371400833,0.2288670839741826,0.8243821859359741,0.8225261569023132,0.4756341278553009,0.7771884898096323,135.0
DeepLab,cuda,[5.449673790581611e-07],8,250,0.1062799640744924,0.2494884927943348,0.8204939365386963,0.8262263536453247,0.4771185219287872,0.7473715157061815,136.0
DeepLab,cuda,[4.758647376699033e-07],8,250,0.1032332611829042,0.2431097668781876,0.8207814693450928,0.8268707990646362,0.4865269660949707,0.758004279397428,137.0
DeepLab,cuda,[4.112268715800954e-07],8,250,0.1086932953447103,0.2593068604543805,0.8227849006652832,0.8275942802429199,0.4834186732769012,0.7333177998661995,138.0
DeepLab,cuda,[3.511175705587433e-07],8,250,0.1046845417469739,0.2565772397071123,0.8199392557144165,0.8298426270484924,0.4781636893749237,0.7360470414161682,139.0
DeepLab,cuda,[2.9559615522887275e-07],8,250,0.1057352567464113,0.2431682386621833,0.8214821815490723,0.8236735463142395,0.4760161936283111,0.7539517620950937,140.0
DeepLab,cuda,[2.447174185242324e-07],8,250,0.1010767376795411,0.2452401232719421,0.8232763409614563,0.8299108743667603,0.478996992111206,0.7470787588506937,141.0
DeepLab,cuda,[1.9853157161528524e-07],8,250,0.1069675949215889,0.2426264515146613,0.82037353515625,0.8277543783187866,0.4794114232063293,0.7534226535260677,142.0
DeepLab,cuda,[1.5708419435684518e-07],8,250,0.1086487732455134,0.2536110132187605,0.8235040307044983,0.8264179825782776,0.4780762791633606,0.7385471235215664,143.0
DeepLab,cuda,[1.2041619030626338e-07],8,250,0.1071131699904799,0.2444837886840105,0.8211018443107605,0.8246930837631226,0.4801954627037048,0.7514918938651681,144.0
DeepLab,cuda,[8.85637463565564e-08],8,250,0.1046512052416801,0.2489893319830298,0.8231967091560364,0.8300860524177551,0.483806312084198,0.7442951710149646,145.0
DeepLab,cuda,[6.15582970243117e-08],8,250,0.1040465575829148,0.2434496869146823,0.8229981064796448,0.8240241408348083,0.4793251156806946,0.7543409169465304,146.0
DeepLab,cuda,[3.9426493427611177e-08],8,250,0.1064218780398368,0.2388072386756539,0.8212598562240601,0.825863242149353,0.4844813942909241,0.7558155621960759,147.0
DeepLab,cuda,[2.219017698460002e-08],8,250,0.1027756555378437,0.2470208940282464,0.8241778612136841,0.8283554315567017,0.4874001443386078,0.7501850282773376,148.0
DeepLab,cuda,[9.866357858642206e-09],8,250,0.1014740956947207,0.2431941562891006,0.8236760497093201,0.8261280655860901,0.4831233024597168,0.7520189123228193,149.0
DeepLab,cuda,[2.4671981713420003e-09],8,250,0.1087650053948164,0.2409598488546908,0.823068380355835,0.8243623971939087,0.4783481955528259,0.7522752544656396,150.0
DeepLab,cuda,[1e-05],8,250,0.1110974295809865,0.2455775651708245,0.8198301792144775,0.823177695274353,0.4506192207336426,0.752823885306716,151.0
DeepLab,cuda,[9.999383162408303e-06],8,250,0.1080593670159578,0.2366031398624181,0.8160062432289124,0.8269054293632507,0.4717123806476593,0.7587475061789155,152.0
DeepLab,cuda,[9.997532801828659e-06],8,250,0.1050718737393617,0.2527450856566429,0.8149310350418091,0.8350040912628174,0.487766295671463,0.7405313330888748,153.0
DeepLab,cuda,[9.994449374809851e-06],8,250,0.1042098008096218,0.2516275808215141,0.8188512921333313,0.8324416875839233,0.4634029567241668,0.7467744155228138,154.0
DeepLab,cuda,[9.990133642141359e-06],8,250,0.1090606970340013,0.263868390917778,0.8103837370872498,0.8299050331115723,0.4659558832645416,0.7316049765050412,155.0
DeepLab,cuda,[9.984586668665641e-06],8,250,0.109133841022849,0.2465377642586827,0.8247538805007935,0.8300892114639282,0.4795618653297424,0.7461458306387068,156.0
DeepLab,cuda,[9.9778098230154e-06],8,250,0.1092293670028448,0.2542361206188798,0.8155634999275208,0.8285582661628723,0.5027596354484558,0.7368597739189864,157.0
DeepLab,cuda,[9.9698047772759e-06],8,250,0.107546856701374,0.2389846454188227,0.8115119934082031,0.8459003567695618,0.4975756704807281,0.7608370925486088,158.0
DeepLab,cuda,[9.960573506572391e-06],8,250,0.1069927818328142,0.235439879335463,0.8207155466079712,0.8372948169708252,0.4891054928302765,0.7609197580814362,159.0
DeepLab,cuda,[9.95011828858279e-06],8,250,0.1015387104451656,0.2415181741863489,0.8229568600654602,0.8317163586616516,0.5076176524162292,0.7574568320438266,160.0
DeepLab,cuda,[9.938441702975689e-06],8,250,0.1022668514028191,0.2548928332328796,0.8151513934135437,0.8373175263404846,0.4835132360458374,0.7465233303233981,161.0
DeepLab,cuda,[9.92554663077387e-06],8,250,0.1080203000456094,0.2637565665319561,0.8081741333007812,0.8455671668052673,0.4857693612575531,0.7292026511207224,162.0
DeepLab,cuda,[9.911436253643445e-06],8,250,0.1072724390029907,0.2457741702720522,0.8228103518486023,0.8434764742851257,0.4976676702499389,0.7469483253359794,163.0
DeepLab,cuda,[9.89611405310883e-06],8,250,0.1066260632500052,0.2394849809631705,0.8213737607002258,0.8358628749847412,0.4749192595481872,0.756248587667942,164.0
DeepLab,cuda,[9.879583809693737e-06],8,250,0.1032021882012486,0.2427828560769558,0.8196481466293335,0.8445260524749756,0.4723300039768219,0.7528262811899185,165.0
