model,device,lr,batch_size,epochs,train_loss,val_loss,iid_val_iou,iid_test_iou,ood_iou,consistency,epoch
DeepLab,cuda,[1e-05],8,250,0.7630470091104508,0.7064415735006332,0.3554534018039703,0.37508422,0.1141025200486183,0.4569760769605636,0.0
DeepLab,cuda,[1e-05],8,250,0.6938621938228607,0.6603742203116417,0.4623997509479522,0.4858177602291107,0.1927751302719116,0.4145022103190422,1.0
DeepLab,cuda,[9.990133642141359e-06],8,250,0.6469708305597305,0.6216342520713806,0.554530680179596,0.5816476345062256,0.2169569730758667,0.4097864750027656,2.0
DeepLab,cuda,[9.960573506572391e-06],8,250,0.6079741629958153,0.5973928362131119,0.5959665179252625,0.622873067855835,0.2306708544492721,0.4165778894722461,3.0
DeepLab,cuda,[9.911436253643445e-06],8,250,0.5692569494247437,0.5826571783423424,0.6597151160240173,0.6647937893867493,0.2493738234043121,0.419821360707283,4.0
DeepLab,cuda,[9.842915805643156e-06],8,250,0.5471553152799606,0.5655567693710327,0.6951725482940674,0.6925750970840454,0.2605645954608917,0.4319431632757187,5.0
DeepLab,cuda,[9.755282581475769e-06],8,250,0.518112275004387,0.5618943694233894,0.7034617066383362,0.6894137859344482,0.2732178568840027,0.4319747897982597,6.0
DeepLab,cuda,[9.648882429441258e-06],8,250,0.4960828283429145,0.5471600642800332,0.7398838996887207,0.7219704985618591,0.2958614528179168,0.4480927863717079,7.0
DeepLab,cuda,[9.524135262330098e-06],8,250,0.4811973747611046,0.5285306450724602,0.7216724157333374,0.7081775665283203,0.3058860898017883,0.4665126040577888,8.0
DeepLab,cuda,[9.381533400219319e-06],8,250,0.4575952872633934,0.5240417420864105,0.7288143038749695,0.7187262177467346,0.3101994693279266,0.4686042249202728,9.0
DeepLab,cuda,[9.221639627510076e-06],8,250,0.4454735511541366,0.510765595138073,0.7555937767028809,0.7308106422424316,0.3273435831069946,0.4790807862579822,10.0
DeepLab,cuda,[9.045084971874738e-06],8,250,0.417726933658123,0.4844513009488582,0.745368480682373,0.7420198917388916,0.3295724093914032,0.5133057978749276,11.0
DeepLab,cuda,[8.852566213878947e-06],8,250,0.4062094044685364,0.4932698954641819,0.749214231967926,0.739969789981842,0.3292908072471618,0.4969222445785999,12.0
DeepLab,cuda,[8.644843137107058e-06],8,250,0.3937375664710998,0.4706628192961216,0.7731274366378784,0.762728214263916,0.3499710261821747,0.5217343625426292,13.0
DeepLab,cuda,[8.422735529643445e-06],8,250,0.375459181368351,0.4610552525520324,0.7558429837226868,0.7599359154701233,0.360315591096878,0.5274939586222172,14.0
