model,device,lr,batch_size,epochs,use_inpainter,train_loss,val_loss,iid_val_iou,iid_test_iou,ood_iou,consistency,epoch
InductiveNet,cuda,[1e-05],8,300,False,0.5161538144946098,0.4182087853550911,0.4593816101551056,0.48520765,0.1549072116613388,0.4140017479658127,0.0
InductiveNet,cuda,[1e-05],8,300,False,0.4275669392943382,0.372989604473114,0.5344507694244385,0.5795774459838867,0.2256342470645904,0.3967611467838288,1.0
InductiveNet,cuda,[9.990133642141359e-06],8,300,False,0.3726006352901458,0.3463456039130688,0.5578888654708862,0.593049168586731,0.2567823529243469,0.4040196365118027,2.0
InductiveNet,cuda,[9.960573506572391e-06],8,300,False,0.3330514812469482,0.3168575513362884,0.6167172789573669,0.6457161903381348,0.2550729215145111,0.4162446239590645,3.0
InductiveNet,cuda,[9.911436253643445e-06],8,300,False,0.3071615995466709,0.304375102519989,0.6523541212081909,0.6864840984344482,0.2550011575222015,0.4223886066675186,4.0
InductiveNet,cuda,[9.842915805643156e-06],8,300,False,0.2929340672492981,0.2893575114011764,0.6704745292663574,0.6945486664772034,0.2697426080703735,0.4444144928455352,5.0
InductiveNet,cuda,[9.755282581475769e-06],8,300,False,0.2779865342378616,0.2827521379292011,0.703786313533783,0.7284103631973267,0.2931431531906128,0.4505108374357224,6.0
InductiveNet,cuda,[9.648882429441258e-06],8,300,False,0.2678507298231125,0.2738405127823353,0.7217984199523926,0.7418163418769836,0.3029941320419311,0.4619718718528748,7.0
InductiveNet,cuda,[9.524135262330098e-06],8,300,False,0.256969300955534,0.2719673319160938,0.7230606079101562,0.7453516125679016,0.3092854917049408,0.4625585803389549,8.0
InductiveNet,cuda,[9.381533400219319e-06],8,300,False,0.2453491672873497,0.2562625629454851,0.7353836894035339,0.7459373474121094,0.335955411195755,0.4975964650511741,9.0
InductiveNet,cuda,[9.221639627510076e-06],8,300,False,0.2337050594389438,0.2627601350843906,0.7141208052635193,0.7362905144691467,0.3261611759662628,0.4832138809561729,10.0
InductiveNet,cuda,[9.045084971874738e-06],8,300,False,0.2288033574819565,0.2506674047559499,0.7343894839286804,0.7519118785858154,0.3401117920875549,0.5050829003751278,11.0
InductiveNet,cuda,[8.852566213878947e-06],8,300,False,0.2171692799031734,0.2435064185410738,0.7592366933822632,0.7696382403373718,0.3552280068397522,0.5156805917620659,12.0
InductiveNet,cuda,[8.644843137107058e-06],8,300,False,0.2086861556768417,0.2332235990464687,0.7667856812477112,0.780769407749176,0.3590198457241058,0.5396039541065694,13.0
InductiveNet,cuda,[8.422735529643445e-06],8,300,False,0.2068818892538547,0.2355677086114883,0.7648887038230896,0.7819499969482422,0.3614025115966797,0.5307194836437702,14.0
InductiveNet,cuda,[8.18711994874345e-06],8,300,False,0.1950261987000703,0.2261108902841806,0.7418725490570068,0.7693262696266174,0.3650476038455963,0.5552448280155658,15.0
InductiveNet,cuda,[7.938926261462368e-06],8,300,False,0.1905047637969255,0.2233712235838174,0.7521074414253235,0.7741838693618774,0.3549205958843231,0.550943939089775,16.0
InductiveNet,cuda,[7.679133974894984e-06],8,300,False,0.1835960298031568,0.2188546425849199,0.7611225843429565,0.7826704978942871,0.3590476512908935,0.5672118754684925,17.0
InductiveNet,cuda,[7.408768370508577e-06],8,300,False,0.1826446894556284,0.2206462286412716,0.7262876629829407,0.7524678111076355,0.3369445502758026,0.5708498392999173,18.0
InductiveNet,cuda,[7.128896457825364e-06],8,300,False,0.1731756064295768,0.2089817581325769,0.7642813920974731,0.7865369319915771,0.3759785592556,0.5851645618677139,19.0
InductiveNet,cuda,[6.840622763423391e-06],8,300,False,0.1737869092077016,0.20703433342278,0.7615801095962524,0.7844014167785645,0.3725703358650207,0.5891753913462162,20.0
InductiveNet,cuda,[6.545084971874738e-06],8,300,False,0.1709735864400863,0.2033992066979408,0.7641405463218689,0.7946412563323975,0.3717869222164154,0.593009470552206,21.0
InductiveNet,cuda,[6.243449435824273e-06],8,300,False,0.1657599071413278,0.205155655555427,0.7707220315933228,0.7886567115783691,0.3563772737979889,0.5937572544813157,22.0
InductiveNet,cuda,[5.936906572928625e-06],8,300,False,0.1672975538671016,0.1989437224715948,0.7714496850967407,0.7905639410018921,0.3798174560070038,0.6049031458795071,23.0
InductiveNet,cuda,[5.6266661678215225e-06],8,300,False,0.1575016238540411,0.205745460242033,0.7678160667419434,0.7799527645111084,0.3715347051620483,0.588019237369299,24.0
InductiveNet,cuda,[5.3139525976465675e-06],8,300,False,0.1542265409976244,0.1945148412138223,0.7737762331962585,0.7849774360656738,0.3640272617340088,0.6098315815627575,25.0
InductiveNet,cuda,[5e-06],8,300,False,0.1575076703727245,0.1948415661603212,0.7716735005378723,0.7843376994132996,0.370846539735794,0.6128742446005344,26.0
InductiveNet,cuda,[4.686047402353433e-06],8,300,False,0.1526876558363437,0.187751849591732,0.7754271030426025,0.7848444581031799,0.3789407312870025,0.6327444054931401,27.0
InductiveNet,cuda,[4.37333383217848e-06],8,300,False,0.1556725371628999,0.1865723747387528,0.7848628163337708,0.7974910736083984,0.3844739198684692,0.6268265761435032,28.0
InductiveNet,cuda,[4.063093427071377e-06],8,300,False,0.1529173056036233,0.1863368602842092,0.7788609862327576,0.7923725247383118,0.3926723599433899,0.6286713992059231,29.0
InductiveNet,cuda,[3.756550564175726e-06],8,300,False,0.1464816257357597,0.1847510987520217,0.786030113697052,0.7979775071144104,0.3809916377067566,0.630417228937149,30.0
InductiveNet,cuda,[3.4549150281252648e-06],8,300,False,0.1487898515164852,0.1870083577185869,0.7766979932785034,0.7889447808265686,0.3898770213127136,0.6275576487183571,31.0
InductiveNet,cuda,[3.159377236576612e-06],8,300,False,0.1495106945186853,0.1868206598609686,0.7810423374176025,0.7992699146270752,0.3855119943618774,0.6289143005013467,32.0
InductiveNet,cuda,[2.871103542174637e-06],8,300,False,0.136896336749196,0.1819686442241072,0.7781761288642883,0.7991837859153748,0.3946513235569,0.6376268297433854,33.0
InductiveNet,cuda,[2.5912316294914232e-06],8,300,False,0.1463495291769504,0.1837607421353459,0.7848170399665833,0.7970331311225891,0.3910950720310211,0.641157650873065,34.0
InductiveNet,cuda,[2.320866025105016e-06],8,300,False,0.146095456033945,0.1761341481283307,0.7828925251960754,0.7989518046379089,0.3939377665519714,0.6540626734495163,35.0
InductiveNet,cuda,[2.061073738537635e-06],8,300,False,0.1409751746803522,0.1819931800663471,0.7822259664535522,0.8013702630996704,0.4021778404712677,0.6375615730881691,36.0
InductiveNet,cuda,[1.8128800512565514e-06],8,300,False,0.1419453812018037,0.1783711590617895,0.7794666886329651,0.7972114682197571,0.4076259136199951,0.6529517882317304,37.0
InductiveNet,cuda,[1.5772644703565564e-06],8,300,False,0.1450605897605419,0.1776861916109919,0.785077691078186,0.8016828298568726,0.3992683589458465,0.6488170454651117,38.0
InductiveNet,cuda,[1.3551568628929434e-06],8,300,False,0.1385441698879003,0.1765035248175263,0.7857334613800049,0.8049384355545044,0.4037465155124664,0.6476593633741141,39.0
InductiveNet,cuda,[1.1474337861210543e-06],8,300,False,0.1326810686290264,0.1799891347438097,0.7852723002433777,0.8007411360740662,0.3951846659183502,0.6452507050335408,40.0
InductiveNet,cuda,[9.549150281252633e-07],8,300,False,0.1434665529429912,0.1791876569017768,0.7853548526763916,0.8031795024871826,0.4046581387519836,0.6417530540376901,41.0
InductiveNet,cuda,[7.783603724899258e-07],8,300,False,0.1362157779932022,0.1789381911605596,0.7875425219535828,0.8020693063735962,0.4176938235759735,0.6416681957244873,42.0
