model,device,lr,batch_size,epochs,use_inpainter,train_loss,val_loss,iid_val_iou,iid_test_iou,ood_iou,consistency,epoch
DeepLab,cuda,[1e-05],8,3,False,0.8064541071653366,0.6997387927770614,0.4174679517745971,0.43470898,0.1844228953123092,0.4181678274273872,0.0
DeepLab,cuda,[1e-05],8,3,False,0.6804456889629364,0.6581670624017716,0.4954668879508972,0.5192441940307617,0.2121916562318802,0.3909872317314148,1.0
DeepLab,cuda,[9.990133642141359e-06],8,3,False,0.5927650856971741,0.6309352678060531,0.6094450354576111,0.6171507835388184,0.2298543900251388,0.3733599570393562,2.0
DeepLab,cuda,[1e-05],8,300,False,0.8032609301805497,0.7012587624788285,0.3795981109142303,0.3938446342945099,0.1243838518857956,0.4496898752450943,0.0
DeepLab,cuda,[1e-05],8,300,False,0.6922272944450378,0.664655402302742,0.5129247903823853,0.535366415977478,0.2146492749452591,0.3882844778895378,1.0
DeepLab,cuda,[9.990133642141359e-06],8,300,False,0.6139063507318496,0.6394706773757934,0.5885969400405884,0.6037406325340271,0.238857626914978,0.3782492282986641,2.0
DeepLab,cuda,[9.960573506572391e-06],8,300,False,0.5433121174573898,0.6416481894254684,0.650816798210144,0.6618950366973877,0.2399432063102722,0.3593024715781212,3.0
DeepLab,cuda,[9.911436253643445e-06],8,300,False,0.4883658474683761,0.6240049010515213,0.6598369479179382,0.6749966144561768,0.2540774941444397,0.3715969482064247,4.0
DeepLab,cuda,[9.842915805643156e-06],8,300,False,0.4471828150749206,0.6287719196081162,0.6997378468513489,0.7140876650810242,0.2715764939785003,0.3606880381703377,5.0
DeepLab,cuda,[9.755282581475769e-06],8,300,False,0.4233071255683899,0.6104425412416458,0.7202208638191223,0.7334916591644287,0.2805245518684387,0.3781734749674796,6.0
DeepLab,cuda,[9.648882429441258e-06],8,300,False,0.38057890355587,0.6090133917331696,0.7243257761001587,0.742591917514801,0.2935267686843872,0.373001157939434,7.0
DeepLab,cuda,[9.524135262330098e-06],8,300,False,0.3587095630168915,0.594923609495163,0.732321560382843,0.7507849931716919,0.302318274974823,0.3873170703649521,8.0
DeepLab,cuda,[9.381533400219319e-06],8,300,False,0.3360894840955734,0.5996708080172539,0.7360659241676331,0.7575995922088623,0.3005014061927795,0.3818393495678901,9.0
DeepLab,cuda,[9.221639627510076e-06],8,300,False,0.3174682110548019,0.5653959712386132,0.7375773787498474,0.7580187916755676,0.3211816251277923,0.4165314546227455,10.0
DeepLab,cuda,[9.045084971874738e-06],8,300,False,0.2948998022079467,0.5822293642163276,0.7505241632461548,0.7731921672821045,0.3336285948753357,0.3984575229883194,11.0
DeepLab,cuda,[8.852566213878947e-06],8,300,False,0.2779897117614746,0.5608798882365227,0.7465987205505371,0.7743159532546997,0.3324645161628723,0.4212508951127529,12.0
DeepLab,cuda,[8.644843137107058e-06],8,300,False,0.2620075500011444,0.5616921120882035,0.7482419013977051,0.7804827690124512,0.3127224445343017,0.4194533541798592,13.0
DeepLab,cuda,[8.422735529643445e-06],8,300,False,0.2500338786840438,0.5515627679228783,0.7540215253829956,0.781862199306488,0.3277592658996582,0.4289864918589592,14.0
DeepLab,cuda,[8.18711994874345e-06],8,300,False,0.2345664578676223,0.5593460935354233,0.7537111639976501,0.7793718576431274,0.3360177278518677,0.4168995776772499,15.0
DeepLab,cuda,[7.938926261462368e-06],8,300,False,0.2229925227165222,0.5523945553600789,0.7610260844230652,0.7840955853462219,0.3312224149703979,0.4236346432566642,16.0
DeepLab,cuda,[7.679133974894984e-06],8,300,False,0.2144147616624832,0.537510335445404,0.76473069190979,0.7862515449523926,0.3488754332065582,0.4351971398293972,17.0
DeepLab,cuda,[7.408768370508577e-06],8,300,False,0.2080737471580505,0.5152013719081878,0.7650042176246643,0.789094865322113,0.3361678719520569,0.4645755770802497,18.0
DeepLab,cuda,[7.128896457825364e-06],8,300,False,0.1962593567371368,0.5408796688914299,0.7622913122177124,0.7884672284126282,0.3515840768814087,0.4343010927736759,19.0
DeepLab,cuda,[6.840622763423391e-06],8,300,False,0.1862769800424575,0.5156815932691097,0.7639126777648926,0.7884626984596252,0.3434606194496155,0.4628253166377544,20.0
DeepLab,cuda,[6.545084971874738e-06],8,300,False,0.1791574126482009,0.5169393812119961,0.763285219669342,0.7867051959037781,0.3512771129608154,0.4565382254123687,21.0
DeepLab,cuda,[6.243449435824273e-06],8,300,False,0.1715591764450073,0.5181221544742585,0.7668274641036987,0.7914196252822876,0.3518390953540802,0.4578880663216114,22.0
DeepLab,cuda,[5.936906572928625e-06],8,300,False,0.1658994710445404,0.4946455681324005,0.7719943523406982,0.7941383123397827,0.3635766208171844,0.4825405244529247,23.0
DeepLab,cuda,[5.6266661678215225e-06],8,300,False,0.1620555883646011,0.5125713664293289,0.764018714427948,0.7866398692131042,0.3541289865970611,0.4645784018933773,24.0
DeepLab,cuda,[5.3139525976465675e-06],8,300,False,0.1548686629533767,0.5179676654934883,0.7691317796707153,0.7919653058052063,0.3580586612224579,0.4535771003365516,25.0
DeepLab,cuda,[5e-06],8,300,False,0.1515188533067703,0.5006768837571144,0.7675952911376953,0.7932547926902771,0.3601522743701935,0.4787068799138069,26.0
DeepLab,cuda,[4.686047402353433e-06],8,300,False,0.1467858922481537,0.5228108925372362,0.7709633708000183,0.7937154173851013,0.3724088072776794,0.4474030861258506,27.0
DeepLab,cuda,[4.37333383217848e-06],8,300,False,0.1419288766384124,0.4921423864364624,0.7703222632408142,0.7935402393341064,0.3630717098712921,0.4825971949100495,28.0
DeepLab,cuda,[4.063093427071377e-06],8,300,False,0.1385890084505081,0.5012638372182846,0.7661860585212708,0.7936912775039673,0.3693482279777527,0.4731282764673232,29.0
DeepLab,cuda,[3.756550564175726e-06],8,300,False,0.140582183599472,0.4973745542764664,0.7683146595954895,0.7952738404273987,0.3534578084945678,0.4721928432583808,30.0
DeepLab,cuda,[3.4549150281252648e-06],8,300,False,0.1341899108886718,0.4839445871114731,0.7690348029136658,0.7944067120552063,0.3622413873672485,0.493317424505949,31.0
DeepLab,cuda,[3.159377236576612e-06],8,300,False,0.13308986723423,0.4815656173229217,0.7701970934867859,0.7938721179962158,0.3626954257488251,0.4913614594936371,32.0
DeepLab,cuda,[2.871103542174637e-06],8,300,False,0.1315732163190841,0.5040974561870099,0.769888162612915,0.795286238193512,0.3645974099636078,0.4680272717773914,33.0
DeepLab,cuda,[2.5912316294914232e-06],8,300,False,0.1273967236280441,0.515468097627163,0.7710753679275513,0.7957035303115845,0.3718824982643127,0.4503425040841102,34.0
DeepLab,cuda,[2.320866025105016e-06],8,300,False,0.124893416762352,0.5035366520285607,0.7702718377113342,0.7953633666038513,0.3599312305450439,0.4676178707182408,35.0
DeepLab,cuda,[2.061073738537635e-06],8,300,False,0.1248651218414306,0.4921872946619987,0.7697584629058838,0.7951480746269226,0.3644735813140869,0.4830857118964196,36.0
DeepLab,cuda,[1.8128800512565514e-06],8,300,False,0.125389557480812,0.5069468855857849,0.7706269025802612,0.7967420816421509,0.3578543365001678,0.4664504751563072,37.0
DeepLab,cuda,[1.5772644703565564e-06],8,300,False,0.1213952380418777,0.4865691888332367,0.7695988416671753,0.795901358127594,0.3679137825965881,0.4874512299895286,38.0
DeepLab,cuda,[1.3551568628929434e-06],8,300,False,0.1189064961671829,0.4716604274511337,0.7687792778015137,0.793402910232544,0.3615261018276214,0.5022426041960717,39.0
DeepLab,cuda,[1.1474337861210543e-06],8,300,False,0.1242365980148315,0.5070740258693696,0.7731420397758484,0.794948935508728,0.3614286184310913,0.461703461408615,40.0
DeepLab,cuda,[9.549150281252633e-07],8,300,False,0.1191352313756942,0.5013297862559557,0.7735012769699097,0.7985514998435974,0.3682154417037964,0.4700049760192633,41.0
