model,device,lr,batch_size,epochs,use_inpainter,train_loss,val_loss,iid_val_iou,iid_test_iou,ood_iou,consistency,epoch
FPN,cuda,[1e-05],8,500,False,0.7614033663272858,0.7349234119057655,0.2503978013992309,0.25351533,0.068872332572937,0.4854098558425903,0.0
FPN,cuda,[1e-05],8,500,False,0.7006585490703583,0.679446114897728,0.4254181385040283,0.4428727328777313,0.1352885961532592,0.4419970700144767,1.0
FPN,cuda,[9.990133642141359e-06],8,500,False,0.6630754491686821,0.6568352591991424,0.5204052925109863,0.5496743321418762,0.1762551069259643,0.4176386094093323,2.0
FPN,cuda,[9.960573506572391e-06],8,500,False,0.6329882964491844,0.6475666451454163,0.5535306334495544,0.5887750387191772,0.1663244813680648,0.4097425222396851,3.0
FPN,cuda,[9.911436253643445e-06],8,500,False,0.6122989347577095,0.6382309773564339,0.5813859701156616,0.6134016513824463,0.1872752457857132,0.4099735981225967,4.0
FPN,cuda,[9.842915805643156e-06],8,500,False,0.6008757638931275,0.6305983892083168,0.600527822971344,0.6204961538314819,0.2027192264795303,0.4157593119144439,5.0
FPN,cuda,[9.755282581475769e-06],8,500,False,0.5875569808483124,0.6246148672699928,0.6104196906089783,0.6341198086738586,0.202475294470787,0.417732509970665,6.0
FPN,cuda,[9.648882429441258e-06],8,500,False,0.5747856891155243,0.6162035137414932,0.6813635230064392,0.7038657665252686,0.2668415606021881,0.4093519791960716,7.0
FPN,cuda,[9.524135262330098e-06],8,500,False,0.5598372566699982,0.6162938308715821,0.6747246384620667,0.6919238567352295,0.2636612951755523,0.4075221717357635,8.0
FPN,cuda,[9.381533400219319e-06],8,500,False,0.549745791554451,0.607574182152748,0.688068151473999,0.705081582069397,0.2715490758419037,0.4127209022641182,9.0
FPN,cuda,[9.221639627510076e-06],8,500,False,0.5377100622653961,0.6087878733873368,0.6825942993164062,0.6987216472625732,0.2375911623239517,0.4159306788444519,10.0
